episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
48,13257,400,-0.913173,282,0.705,118,0.295,9,24.0,-15.0,8.622052,8.00887680053711,0.6131754,0,0.5,1,0.5
49,13657,400,-1.590088,268,0.67,132,0.33,5,21.0,-16.0,8.60733,7.383364677429199,1.2239656,0,0.4897959183673469,1,0.5102040816326531
50,14057,400,2.161123,280,0.7,120,0.3,16,14.0,2.0,8.614708,7.741501808166504,0.87320614,0,0.48,1,0.52
51,14457,400,0.288834,284,0.71,116,0.29,25,25.0,0.0,8.611026,7.9027557373046875,0.7082701,0,0.47058823529411764,1,0.5294117647058824
52,14520,63,400.195044,48,0.7619047619047619,15,0.23809523809523808,8,4.0,4.0,8.614708,-0.0,8.614708,1,0.4807692307692308,0,0.5192307692307693
53,14790,270,399.673458,179,0.662962962962963,91,0.337037037037037,16,2.0,14.0,8.611026,-0.0,8.611026,1,0.49056603773584906,0,0.5094339622641509
54,15190,400,2.31307,276,0.69,124,0.31,13,15.0,-2.0,8.625709,7.639641761779785,0.9860668,0,0.48148148148148145,1,0.5185185185185185
55,15302,112,401.589333,69,0.6160714285714286,43,0.38392857142857145,18,8.0,10.0,8.625709,-0.0,8.625709,1,0.4909090909090909,0,0.509090909090909
56,15573,271,401.513651,178,0.6568265682656826,93,0.34317343173431736,16,2.0,14.0,8.618386,-0.0,8.618386,1,0.5,0,0.5
57,15973,400,0.700703,281,0.7025,119,0.2975,23,26.0,-3.0,8.599912,7.7969279289245605,0.80298376,0,0.49122807017543857,1,0.5087719298245614
58,16373,400,-1.85493,294,0.735,106,0.265,26,31.0,-5.0,8.629356,8.130966186523438,0.4983902,0,0.4827586206896552,1,0.5172413793103449
59,16773,400,2.264001,295,0.7375,105,0.2625,17,16.0,1.0,8.622052,7.904846668243408,0.7172055,0,0.4745762711864407,1,0.5254237288135594
60,17173,400,3.884758,255,0.6375,145,0.3625,22,11.0,11.0,8.614708,7.6680803298950195,0.9466276,0,0.4666666666666667,1,0.5333333333333333
61,17573,400,0.780021,285,0.7125,115,0.2875,23,33.0,-10.0,8.60733,8.087757110595703,0.5195732,0,0.45901639344262296,1,0.5409836065573771
62,17973,400,-1.137164,285,0.7125,115,0.2875,9,11.0,-2.0,8.611026,7.7866315841674805,0.8243942,0,0.45161290322580644,1,0.5483870967741935
63,18373,400,2.205786,281,0.7025,119,0.2975,10,16.0,-6.0,8.603626,7.4876627922058105,1.1159635,0,0.4444444444444444,1,0.5555555555555556
64,18684,311,400.012628,241,0.77491961414791,70,0.22508038585209003,11,1.0,10.0,8.614708,-0.0,8.614708,1,0.453125,0,0.546875
65,19084,400,-0.787702,278,0.695,122,0.305,18,32.0,-14.0,8.611026,8.030948638916016,0.5800772,0,0.4461538461538462,1,0.5538461538461539
66,19322,238,399.71821,147,0.6176470588235294,91,0.38235294117647056,6,2.0,4.0,8.614708,-0.0,8.614708,1,0.45454545454545453,0,0.5454545454545454
67,19722,400,-2.216221,282,0.705,118,0.295,6,22.0,-16.0,8.622052,7.939387798309326,0.6826644,0,0.44776119402985076,1,0.5522388059701493
68,20122,400,2.519383,264,0.66,136,0.34,32,14.0,18.0,8.622052,7.235203742980957,1.3868484,0,0.4411764705882353,1,0.5588235294117647
69,20136,14,400.13639,12,0.8571428571428571,2,0.14285714285714285,2,7.0,-5.0,8.622052,-0.0,8.622052,1,0.4492753623188406,0,0.5507246376811594
70,20536,400,-2.436224,254,0.635,146,0.365,14,26.0,-12.0,8.60733,7.69414758682251,0.91318274,0,0.44285714285714284,1,0.5571428571428572
71,20783,247,403.916802,181,0.7327935222672065,66,0.26720647773279355,19,7.0,12.0,8.622052,-0.0,8.622052,1,0.4507042253521127,0,0.5492957746478874
72,20939,156,402.317992,111,0.7115384615384616,45,0.28846153846153844,19,2.0,17.0,8.622052,-0.0,8.622052,1,0.4583333333333333,0,0.5416666666666666
73,21339,400,2.192761,300,0.75,100,0.25,12,6.0,6.0,8.618386,7.577055931091309,1.0413303,0,0.4520547945205479,1,0.547945205479452
74,21739,400,-3.80275,293,0.7325,107,0.2675,9,12.0,-3.0,8.611026,7.258510589599609,1.3525152,0,0.44594594594594594,1,0.5540540540540541
75,22139,400,1.95287,266,0.665,134,0.335,12,8.0,4.0,8.603626,6.01330041885376,2.5903258,0,0.44,1,0.56
76,22539,400,-1.202337,300,0.75,100,0.25,6,10.0,-4.0,8.603626,8.12990665435791,0.4737196,0,0.4342105263157895,1,0.5657894736842105
77,22939,400,0.837977,268,0.67,132,0.33,18,25.0,-7.0,8.603626,7.770288467407227,0.8333378,0,0.42857142857142855,1,0.5714285714285714
78,23339,400,0.550045,303,0.7575,97,0.2425,7,7.0,0.0,8.618386,6.4917755126953125,2.1266108,0,0.4230769230769231,1,0.5769230769230769
79,23739,400,-2.753058,302,0.755,98,0.245,6,33.0,-27.0,8.622052,7.994874954223633,0.62717724,0,0.4177215189873418,1,0.5822784810126582
80,24139,400,1.037337,301,0.7525,99,0.2475,16,14.0,2.0,8.614708,8.127742767333984,0.48696518,0,0.4125,1,0.5875
81,24225,86,401.615669,67,0.7790697674418605,19,0.22093023255813954,10,1.0,9.0,8.614708,-0.0,8.614708,1,0.41975308641975306,0,0.5802469135802469
82,24546,321,407.902564,252,0.7850467289719626,69,0.21495327102803738,29,2.0,27.0,8.629356,-0.0,8.629356,1,0.4268292682926829,0,0.573170731707317
83,24551,5,398.688572,4,0.8,1,0.2,3,30.0,-27.0,8.614708,-0.0,8.614708,1,0.43373493975903615,0,0.5662650602409639
84,24951,400,-2.87337,290,0.725,110,0.275,11,15.0,-4.0,8.60733,7.92458963394165,0.6827407,0,0.42857142857142855,1,0.5714285714285714
85,25351,400,-0.62192,312,0.78,88,0.22,10,12.0,-2.0,8.618386,7.1445770263671875,1.4738092,0,0.4235294117647059,1,0.5764705882352941
86,25674,323,403.685491,194,0.6006191950464397,129,0.3993808049535604,19,11.0,8.0,8.618386,-0.0,8.618386,1,0.43023255813953487,0,0.5697674418604651
87,26074,400,2.045791,266,0.665,134,0.335,18,10.0,8.0,8.60733,7.644855976104736,0.96247435,0,0.42528735632183906,1,0.5747126436781609
88,26474,400,2.636027,290,0.725,110,0.275,23,3.0,20.0,8.625709,6.60622501373291,2.0194836,0,0.42045454545454547,1,0.5795454545454546
89,26874,400,1.149086,295,0.7375,105,0.2625,13,30.0,-17.0,8.622052,8.241697311401367,0.38035488,0,0.4157303370786517,1,0.5842696629213483
90,27274,400,-0.076613,286,0.715,114,0.285,24,12.0,12.0,8.60733,7.740069389343262,0.86726093,0,0.4111111111111111,1,0.5888888888888889
